Timestamp,Project Name,Description,Keywords,Discipline,Methodological Approach,Data Collected,Status,Existing Coauthors,Seeking,Target Journals,Link,Contact Email
2026-02-11,"Green Book and Contemporary Police Violence","Do counties without Green Book listings (historical hostility to Black travelers) have higher police killing rates? Analysis of 1,080 counties with Fatal Encounters data, lynching records, and ACS demographics. Surprising finding: counties WITH Green Book have MORE killings, driven by urbanization.","policing, race, historical discrimination, Green Book, fatal encounters, Jim Crow","Political Science","Quantitative, Archival","Yes","Data collected","None","Coauthors, Theory development","American Political Science Review, Journal of Politics",,"charles.crabtree@monash.edu"
2026-02-11,"Chicago Police Complaints (FOIA)","Citizens Police Data Project: FOIA-obtained complaint data for Chicago Police Department spanning 2002-2015. Includes misconduct categories, officer information, and geographic data. Unexplored potential for analyzing complaint patterns and officer accountability.","policing, misconduct, accountability, Chicago, FOIA","Political Science","Quantitative, Administrative data","Yes","Data collected","None","Coauthors, Methods expertise","Journal of Politics, Political Behavior",,"charles.crabtree@monash.edu"
2026-02-11,"SPLC Hate Groups and Confederate Monuments","Dataset linking SPLC active hate groups (2014) with Confederate monument locations and school data. Potential analysis of historical symbolism and contemporary extremism.","hate groups, Confederate monuments, SPLC, political extremism","Political Science","Quantitative, Archival","Yes","Data collected","None","Coauthors, Theory development","Journal of Politics, Political Research Quarterly",,"charles.crabtree@monash.edu"
2026-02-11,"HRO Communications Dataset (1996-2019)","844,632 documents from 403 human rights organizations: 26,084 press releases (HRW, Amnesty, ACLU, Freedom House) and 818,548 tweets. Classified by country (136) and UDHR rights categories (18). Sentiment analysis included. Data paper forthcoming; seeking applications.","human rights, NGOs, advocacy, press releases, Twitter, naming and shaming","Political Science","Text analysis, Content analysis","Yes","Partial draft","Margarita Solntseva, Kiyoteru Tsutsui","Coauthors for applications","Nature Scientific Data (data paper forthcoming)",,"charles.crabtree@monash.edu"
2026-02-11,"Japanese Public Opinion on US-Japan Security","Survey experiment (N≈1000) on Japanese attitudes toward Belt and Road Initiative, Free and Open Indo-Pacific, and Japan-Korea reconciliation. Key findings: BRI support drops 1/3 SD when framed as military; FOIP support drops 1/4 SD when framed as complementing China; remorse primes increase perceived Japanese remorse.","Japan, security, survey experiment, BRI, Indo-Pacific, Korea, reconciliation","International Relations","Survey experiment","Yes","Data collected","None","Coauthors","International Organization, Journal of Conflict Resolution",,"charles.crabtree@monash.edu"
2026-02-11,"UN Human Rights Documents Analysis","Corpus of UN human rights documents (XML format) for text analysis. Research questions: measuring state affinity beyond voting records, correlates of naming and shaming, specificity of HR reports over time. Early-stage project with data collection infrastructure in place.","human rights, United Nations, naming and shaming, text analysis, international institutions","International Relations","Text analysis, Quantitative","Partial","Idea only","None","Coauthors, Methods expertise","International Studies Quarterly, World Politics",,"charles.crabtree@monash.edu"
2026-02-11,"Public Demand for Human Rights","When does the public demand increased state respect for human rights? Examining cultural background, economic prosperity, threat perceptions, and status quo challenges. Theoretical framework developed; seeking cross-national survey data or funding for original data collection.","human rights, public opinion, political culture, cross-national","Comparative Politics","Survey, Cross-national","No","Idea only","None","Coauthors, Funding, Data access","Comparative Political Studies, British Journal of Political Science",,"charles.crabtree@monash.edu"
2026-02-11,"Belarus 2017 Protests: Economic Grievances and Authoritarian Stability","Why did the 2017 'social parasites tax' protests catch regional experts by surprise? Analysis of the most widespread protests in Belarusian history, examining how economic recession eroded tolerance for unpopular policies. Explores interaction between domestic economic conditions and international context (Belarus-Russia tensions, Western rapprochement).","Belarus, protests, authoritarianism, economic grievances, collective action, Lukashenko","Comparative Politics","Case study, Process tracing","Partial","Stalled","None","Coauthors, Area expertise","Comparative Politics, World Politics",,"charles.crabtree@monash.edu"
2026-02-11,"Self-Censorship Under Autocracy: A Survey Experiment with Belarusian Journalists","When do journalists in authoritarian regimes self-censor? Survey experiment design using randomized response technique to measure willingness to report critically on regime. Treatments vary: (1) expected punishment, (2) public support for regime, (3) subscriber impact. Infrastructure ready; seeking funding for implementation.","Belarus, journalism, self-censorship, authoritarianism, survey experiment, media freedom","Comparative Politics","Survey experiment","No","Idea only","None","Coauthors, Funding","Journal of Politics, Comparative Political Studies",,"charles.crabtree@monash.edu"
2026-02-11,"Formal vs. Informal Repression: Dissident Punishment in Belarus and Ukraine","Why do some autocrats use courts while others use extrajudicial violence? Original dataset on dissident punishment in Belarus and Ukraine (1991-2004) with interviews of opposition members. Counterintuitive finding: countries with Western ties and independent institutions more likely to use extrajudicial means. Lukashenko imprisoned; Kuchma used informal sanctions.","repression, dissidents, authoritarianism, Belarus, Ukraine, courts, extrajudicial violence","Comparative Politics","Mixed methods, Interviews","Yes","Data collected","None","Coauthors","World Politics, Comparative Political Studies",,"charles.crabtree@monash.edu"
